name,cluster,submissions_count,likes_count,companies_count
maximum-average-subarray-ii,4,55300,613,1
set-mismatch,3,985700,4600,2
maximum-length-of-pair-chain,4,384000,4500,1
palindromic-substrings,3,1100000,10600,5
replace-words,4,216900,2200,2
dota2-senate,3,289100,2300,4
2-keys-keyboard,4,245500,3400,1
4-keys-keyboard,4,52000,699,2
find-duplicate-subtrees,3,435400,5800,4
two-sum-iv---input-is-a-bst,3,860600,6600,1
maximum-binary-tree,3,338000,5100,1
print-binary-tree,4,104900,469,1
coin-path,4,43800,245,1
robot-return-to-origin,4,557100,2400,2
find-k-closest-elements,3,1100000,8000,7
split-array-into-consecutive-subsequences,3,253200,4400,3
remove-9,4,18600,162,1
image-smoother,4,242100,1100,1
maximum-width-of-binary-tree,3,850500,8500,1
equal-tree-partition,4,74100,482,1
strange-printer,4,133000,2200,1
non-decreasing-array,3,1100000,5700,3
path-sum-iv,4,54400,393,1
beautiful-arrangement-ii,4,88800,788,1
kth-smallest-number-in-multiplication-table,4,121400,2100,1
trim-a-binary-search-tree,3,438300,5800,3
maximum-swap,4,499500,3300,1
second-minimum-node-in-a-binary-tree,4,425100,1800,1
